date,lab_id,equipment_id,equipment_type,max_capacity_hrs,utilization_hrs,utilization_pct,idle_hrs,technical_downtime_hrs,planned_maintenance_hrs,workflow_delay_events,avg_delay_minutes,primary_procedure,redundancy_available,total_cases_day_lab
20-06-2024,Lab_CHN_01,MIC_X1,Microscope,18,10.56,0.59,7.44,0,0,0,0,IVF,TRUE,7
01-02-2023,Lab_CHN_01,ICSI_01,ICSI_Workstation,18,14.98,0.83,3.02,0,0,0,0,Embryo_Assessment,TRUE,11
24-04-2023,Lab_CHN_01,INC_A1,Incubator,18,11.79,0.65,6.21,0,0,0,0,Fertilization_Check,TRUE,15
07-05-2023,Lab_CHN_02,INC_B1,Incubator,10,8.56,0.86,1.44,0,0,0,0,Fertilization_Check,TRUE,3
08-02-2024,Lab_CHN_02,MIC_X1,Microscope,18,8.52,0.47,9.48,0,0,0,0,IVF,TRUE,5
23-05-2024,Lab_CHN_01,ICSI_01,ICSI_Workstation,18,7.44,0.41,10.56,0,0,2,52.1,Embryo_Assessment,TRUE,8
01-03-2024,Lab_CHN_01,ICSI_01,ICSI_Workstation,18,5.02,0.28,12.98,0,0,0,0,Fertilization_Check,TRUE,11
27-08-2024,Lab_CHN_01,ICSI_02,ICSI_Workstation,18,13.02,0.72,4.98,0,0,2,73.6,ICSI,FALSE,8
04-06-2023,Lab_CHN_01,INC_A2,incubator,10,9.7,0.97,0.3,0,0,0,0,ICSI,FALSE,5
22-03-2023,Lab_CHN_02,INC_B1,incubator,18,10.06,0.56,7.94,0,0,1,32.7,IVF,FALSE,11
15-03-2023,Lab_CHN_02,MIC_X2,Microscope,18,14.85,0.82,3.15,0,0,0,0,Embryo_Assessment,TRUE,6
04-06-2023,Lab_CHN_01,INC_B1,incubator,10,7.31,0.73,2.69,0,0,0,0,Embryo_Assessment,TRUE,4
21-07-2023,Lab_CHN_02,INC_A1,incubator,18,10.07,0.56,7.93,0,0,0,0,ICSI,TRUE,9
18-08-2023,Lab_CHN_02,INC_A2,incubator,18,10.96,0.61,7.04,0,0,0,0,ICSI,FALSE,7
18-05-2023,Lab_CHN_02,INC_B1,incubator,18,13.48,0.75,4.52,0,0,0,0,Embryo_Assessment,TRUE,10
18-11-2024,Lab_CHN_01,ICSI_02,ICSI_Workstation,18,14.98,0.83,3.02,0,0,0,0,Fertilization_Check,TRUE,7
05-10-2023,Lab_CHN_01,INC_A1,incubator,18,13.23,0.74,4.77,0,0,0,0,Embryo_Assessment,FALSE,7
25-09-2024,Lab_CHN_02,INC_B1,incubator,18,9.4,0.52,8.6,0,0,0,0,Embryo_Assessment,FALSE,10
04-04-2023,Lab_CHN_02,ICSI_01,ICSI_Workstation,18,9.31,0.52,8.69,0,0,0,0,Fertilization_Check,TRUE,9
29-12-2023,Lab_CHN_02,ICSI_01,ICSI_Workstation,18,11.82,0.66,6.18,0,0,0,0,Fertilization_Check,FALSE,9
12-01-2024,Lab_CHN_02,MIC_X1,Microscope,18,16.2,0.9,1.8,0,0,0,0,ICSI,TRUE,8
28-09-2024,Lab_CHN_02,ICSI_02,ICSI_Workstation,10,7.92,,2.08,0,0,0,0,ICSI,TRUE,-1
27-04-2023,Lab_CHN_01,INC_B1,Incubator,18,12.57,0.7,5.43,0,0,1,100.8,IVF,FALSE,11
10-05-2024,Lab_CHN_02,MIC_X1,Microscope,18,16.2,0.9,1.8,0,0,0,0,IVF,TRUE,15
24-03-2023,Lab_CHN_01,MIC_X1,Microscope,18,6.31,0.35,11.69,0,0,0,0,ICSI,TRUE,11
21-09-2024,Lab_CHN_02,MIC_X1,Microscope,10,7.05,0.7,2.95,0,0,0,0,IVF,TRUE,3
17-05-2023,Lab_CHN_01,MIC_X1,Microscope,18,14.14,0.79,3.86,0,0,0,0,Fertilization_Check,TRUE,11
05-04-2023,Lab_CHN_01,INC_A2,incubator,18,12.95,0.72,5.05,0,0,0,0,ICSI,TRUE,7
27-05-2024,Lab_CHN_02,INC_A2,Incubator,18,15.21,0.85,2.79,0,0,0,0,Fertilization_Check,TRUE,8
09-11-2024,Lab_CHN_01,INC_A2,incubator,10,5.45,0.55,4.55,0,0,0,0,Embryo_Assessment,TRUE,7
24-08-2023,Lab_CHN_02,MIC_X1,Microscope,18,8.71,0.48,9.29,0,0,0,0,IVF,TRUE,4
05-08-2024,Lab_CHN_02,ICSI_02,ICSI_Workstation,18,12.54,0.7,5.46,0,0,0,0,ICSI,FALSE,9
19-10-2024,Lab_CHN_01,INC_B1,Incubator,10,8.92,0.89,1.08,0,0,2,24.9,Embryo_Assessment,FALSE,4
16-09-2024,Lab_CHN_01,INC_A1,Incubator,18,14.56,0.81,3.44,0,0,1,41.5,Fertilization_Check,FALSE,8
29-08-2023,Lab_CHN_01,MIC_X1,Microscope,18,3.74,0.21,14.26,0,0,0,0,ICSI,TRUE,10
08-12-2023,Lab_CHN_02,INC_B1,incubator,18,16.34,0.91,1.66,0,0,2,71.2,Embryo_Assessment,FALSE,11
12-05-2024,Lab_CHN_02,MIC_X2,Microscope,10,5.42,0.54,4.58,0,0,0,0,Fertilization_Check,TRUE,1
30-10-2024,Lab_CHN_01,INC_B1,incubator,18,12.4,0.69,5.6,0,0,0,0,IVF,TRUE,8
27-07-2023,Lab_CHN_02,MIC_X1,Microscope,18,11.3,0.63,6.7,0,0,0,0,IVF,TRUE,12
03-01-2023,Lab_CHN_01,ICSI_02,ICSI_Workstation,18,5.74,0.32,12.26,0,0,0,0,IVF,TRUE,7
05-07-2023,Lab_CHN_01,MIC_X2,Microscope,18,7.01,0.39,10.99,0,0,0,0,Embryo_Assessment,TRUE,8
18-06-2023,Lab_CHN_02,ICSI_01,ICSI_Workstation,10,6.79,0.68,3.21,0,0,0,0,Fertilization_Check,FALSE,3
01-09-2024,Lab_CHN_01,MIC_X1,Microscope,10,2.03,0.2,7.97,0,0,1,40.8,Fertilization_Check,TRUE,3
21-09-2024,Lab_CHN_01,INC_A2,Incubator,10,8.65,0.86,1.35,0,0,0,0,IVF,FALSE,5
07-11-2024,Lab_CHN_01,ICSI_02,ICSI_Workstation,18,16.72,0.93,1.28,0,0,0,0,Fertilization_Check,TRUE,10
27-06-2023,Lab_CHN_01,INC_A2,incubator,18,13.79,0.77,1.86,2.35,0,1,113.4,ICSI,TRUE,12
18-08-2024,Lab_CHN_02,MIC_X1,Microscope,10,4.56,0.46,5.44,0,0,0,0,ICSI,TRUE,0
10-09-2024,Lab_CHN_01,INC_B1,incubator,18,11.41,0.63,6.59,0,0,0,0,Embryo_Assessment,TRUE,10
01-11-2023,Lab_CHN_02,INC_A2,Incubator,18,13.34,0.74,4.66,0,0,0,0,Embryo_Assessment,FALSE,8
23-08-2024,Lab_CHN_01,INC_A1,Incubator,18,14.44,0.8,3.56,0,0,0,0,Fertilization_Check,TRUE,14
01-04-2023,Lab_CHN_01,INC_A1,Incubator,10,3.67,0.37,2.55,0,3.78,0,0,Embryo_Assessment,TRUE,5
24-11-2023,Lab_CHN_01,ICSI_01,ICSI_Workstation,18,15.65,0.87,2.35,0,0,0,0,Embryo_Assessment,FALSE,7
04-05-2024,Lab_CHN_01,MIC_X2,Microscope,10,5.25,0.52,4.75,0,0,0,0,Embryo_Assessment,TRUE,1
16-01-2023,Lab_CHN_02,INC_A2,Incubator,18,11.35,0.63,6.65,0,0,0,0,Embryo_Assessment,FALSE,8
06-02-2023,Lab_CHN_02,ICSI_02,ICSI_Workstation,18,12.66,0.7,5.34,0,0,1,88.9,ICSI,FALSE,16
12-09-2024,Lab_CHN_01,MIC_X1,Microscope,18,6.48,0.36,11.52,0,0,0,0,Fertilization_Check,TRUE,10
23-10-2023,Lab_CHN_02,INC_B1,incubator,18,9.03,0.5,8.97,0,0,0,0,Fertilization_Check,TRUE,10
03-05-2023,Lab_CHN_01,MIC_X2,Microscope,18,8.24,0.46,9.76,0,0,0,0,Fertilization_Check,TRUE,16
20-03-2024,Lab_CHN_02,ICSI_01,ICSI_Workstation,18,4.91,0.27,13.09,0,0,0,0,Embryo_Assessment,TRUE,9
25-08-2023,Lab_CHN_02,MIC_X2,Microscope,18,10.38,0.58,7.62,0,0,0,0,ICSI,TRUE,15
30-04-2023,Lab_CHN_01,ICSI_02,ICSI_Workstation,10,2.49,0.25,6.42,0,1.09,0,0,Embryo_Assessment,FALSE,4
02-02-2023,Lab_CHN_01,MIC_X2,Microscope,18,10.11,0.56,7.89,0,0,0,0,Fertilization_Check,TRUE,9
04-04-2024,Lab_CHN_02,ICSI_02,ICSI_Workstation,18,4.94,0.27,13.06,0,0,0,0,Fertilization_Check,FALSE,9
22-08-2024,Lab_CHN_01,MIC_X2,Microscope,18,9.38,0.52,8.62,0,0,1,25.9,IVF,TRUE,14
18-07-2024,Lab_CHN_02,INC_B1,incubator,18,15.44,0.86,1.66,0.9,0,0,0,Embryo_Assessment,FALSE,8
31-08-2023,Lab_CHN_02,INC_A2,incubator,18,11.71,0.65,6.29,0,0,0,0,Embryo_Assessment,TRUE,11
29-05-2024,Lab_CHN_01,MIC_X1,Microscope,18,12.53,0.7,5.47,0,0,0,0,Fertilization_Check,TRUE,7
24-03-2023,Lab_CHN_02,ICSI_02,ICSI_Workstation,18,5.82,0.32,12.18,0,0,0,0,Embryo_Assessment,TRUE,11
09-07-2023,Lab_CHN_01,INC_A2,Incubator,10,6.98,0.7,3.02,0,0,0,0,ICSI,FALSE,5
29-10-2023,Lab_CHN_02,ICSI_02,ICSI_Workstation,10,2.81,0.28,7.19,0,0,0,0,IVF,TRUE,8
20-05-2023,Lab_CHN_02,INC_A1,incubator,10,7.95,0.8,2.05,0,0,0,0,Embryo_Assessment,FALSE,5
23-03-2024,Lab_CHN_02,MIC_X1,Microscope,10,3.79,0.38,6.21,0,0,0,0,Embryo_Assessment,TRUE,6
27-11-2024,Lab_CHN_01,INC_A1,Incubator,18,15.76,0.88,2.24,0,0,0,0,ICSI,FALSE,7
29-09-2024,Lab_CHN_01,MIC_X2,Microscope,10,3.5,0.35,6.5,0,0,0,0,Embryo_Assessment,TRUE,1
18-12-2024,Lab_CHN_02,MIC_X2,Microscope,18,5.08,0.28,12.92,0,0,0,0,Fertilization_Check,TRUE,12
27-02-2023,Lab_CHN_02,INC_A1,incubator,18,14.42,0.8,2.91,0.67,0,1,51.7,Embryo_Assessment,FALSE,13
20-07-2024,Lab_CHN_02,INC_B1,Incubator,10,5.86,0.59,4.14,0,0,0,0,Fertilization_Check,FALSE,3
12-04-2023,Lab_CHN_02,MIC_X1,Microscope,18,3.9,0.22,14.1,0,0,1,73.6,Fertilization_Check,TRUE,13
28-09-2024,Lab_CHN_01,INC_B1,incubator,10,6.07,0.61,3.93,0,0,0,0,Fertilization_Check,TRUE,3
08-07-2023,Lab_CHN_02,INC_B1,Incubator,10,9.59,0.96,0.41,0,0,0,0,Embryo_Assessment,FALSE,7
19-11-2024,Lab_CHN_02,INC_A1,incubator,18,12.34,0.69,5.66,0,0,0,0,ICSI,FALSE,11
09-08-2023,Lab_CHN_01,ICSI_01,ICSI_Workstation,18,15.58,0.87,0.9,1.52,0,0,0,IVF,TRUE,11
28-03-2023,Lab_CHN_01,INC_A2,incubator,18,13.1,0.73,4.9,0,0,0,0,ICSI,TRUE,9
04-04-2023,Lab_CHN_02,MIC_X2,Microscope,18,6.99,0.39,11.01,0,0,0,0,Fertilization_Check,TRUE,8
09-09-2024,Lab_CHN_02,INC_A2,Incubator,18,15.28,0.85,2.72,0,0,1,105,ICSI,TRUE,9
30-11-2024,Lab_CHN_01,INC_A2,incubator,10,8.53,0.85,1.47,0,0,0,0,ICSI,TRUE,7
18-09-2023,Lab_CHN_02,INC_A2,Incubator,18,14.24,0.79,3.76,0,0,1,19.6,Embryo_Assessment,FALSE,5
02-09-2023,Lab_CHN_01,INC_B1,incubator,10,9.2,0.92,0.8,0,0,0,0,Fertilization_Check,TRUE,2
04-08-2024,Lab_CHN_02,MIC_X2,Microscope,10,2.41,0.24,7.59,0,0,0,0,ICSI,TRUE,2
20-04-2023,Lab_CHN_02,INC_B1,Incubator,18,10.65,0.59,7.35,0,0,0,0,ICSI,TRUE,6
27-01-2023,Lab_CHN_02,INC_A2,Incubator,18,11.83,0.66,6.17,0,0,0,0,ICSI,FALSE,13
15-04-2024,Lab_CHN_01,INC_A1,Incubator,18,9.91,0.55,8.09,0,0,0,0,Embryo_Assessment,TRUE,10
17-02-2024,Lab_CHN_01,INC_A1,Incubator,10,5.94,0.59,4.06,0,0,0,0,ICSI,FALSE,6
19-01-2024,Lab_CHN_02,ICSI_01,ICSI_Workstation,18,7.09,0.39,10.91,0,0,0,0,Fertilization_Check,TRUE,10
14-09-2023,Lab_CHN_01,INC_A1,Incubator,18,14.44,0.8,3.56,0,0,0,0,IVF,FALSE,11
04-11-2023,Lab_CHN_02,INC_B1,incubator,10,3.71,0.37,6.29,0,0,1,27.1,Fertilization_Check,TRUE,5
08-06-2023,Lab_CHN_01,MIC_X1,Microscope,18,15.83,0.88,2.17,0,0,0,0,IVF,TRUE,10
24-11-2024,Lab_CHN_01,MIC_X2,Microscope,10,2.22,0.22,7.78,0,0,0,0,ICSI,TRUE,1
27-12-2024,Lab_CHN_01,INC_B1,incubator,18,11.06,0.61,6.94,0,0,2,34.4,IVF,TRUE,9
24-09-2023,Lab_CHN_01,INC_A2,Incubator,10,2.13,0.21,5.26,0,2.61,0,0,Fertilization_Check,TRUE,4
06-05-2024,Lab_CHN_02,INC_B1,incubator,18,13.28,0.74,4.72,0,0,0,0,Embryo_Assessment,TRUE,8
01-02-2024,Lab_CHN_02,ICSI_01,ICSI_Workstation,18,3.55,0.2,10.69,-0.5,0,1,29.1,Fertilization_Check,TRUE,9
16-10-2024,Lab_CHN_02,ICSI_02,ICSI_Workstation,18,11.82,0.66,6.18,0,0,0,0,ICSI,FALSE,8
12-05-2024,Lab_CHN_01,ICSI_02,ICSI_Workstation,10,7.83,0.78,2.17,0,0,0,0,ICSI,FALSE,5
24-10-2023,Lab_CHN_02,INC_A1,incubator,18,14.56,0.81,3.44,0,0,0,0,ICSI,TRUE,5
31-08-2024,Lab_CHN_02,INC_A1,Incubator,10,7.18,0.72,2.82,0,0,0,0,Embryo_Assessment,TRUE,4
11-12-2024,Lab_CHN_02,MIC_X1,Microscope,18,12.52,0.7,5.48,0,0,0,0,IVF,TRUE,8
01-12-2024,Lab_CHN_01,ICSI_01,ICSI_Workstation,10,5.52,0.55,4.48,0,0,2,117.8,Embryo_Assessment,TRUE,5
09-12-2023,Lab_CHN_02,ICSI_01,ICSI_Workstation,10,5.05,0.5,4.95,0,0,0,0,ICSI,TRUE,2
05-08-2024,Lab_CHN_02,MIC_X1,Microscope,18,7.25,0.4,10.75,0,0,0,0,Fertilization_Check,TRUE,7
17-09-2024,Lab_CHN_01,INC_A2,incubator,18,11.9,0.66,6.1,0,0,0,0,IVF,FALSE,13
16-10-2024,Lab_CHN_02,INC_A2,incubator,18,11.89,0.66,6.11,0,0,1,83.6,Embryo_Assessment,FALSE,10
23-11-2023,Lab_CHN_02,ICSI_02,ICSI_Workstation,18,10.76,0.6,7.24,0,0,0,0,Embryo_Assessment,TRUE,8
09-12-2023,Lab_CHN_01,MIC_X1,Microscope,10,4.24,0.42,5.76,0,0,0,0,ICSI,TRUE,3
11-09-2024,Lab_CHN_02,MIC_X2,Microscope,18,2.7,0.15,15.3,0,0,0,0,ICSI,TRUE,14
22-12-2024,Lab_CHN_01,INC_A2,Incubator,10,,0.98,0.24,0,0,0,0,Embryo_Assessment,TRUE,5
21-06-2024,Lab_CHN_02,ICSI_02,ICSI_Workstation,18,12.19,0.68,5.81,0,0,0,0,IVF,TRUE,12
13-01-2024,Lab_CHN_02,INC_B1,Incubator,10,6.93,0.69,3.07,0,0,0,0,ICSI,TRUE,2
26-05-2023,Lab_CHN_02,INC_A2,incubator,18,12.83,,5.17,0,0,0,0,IVF,TRUE,13
09-04-2023,Lab_CHN_02,INC_A1,incubator,10,9.04,0.9,0.96,0,0,0,0,Embryo_Assessment,TRUE,1
27-07-2023,Lab_CHN_01,MIC_X1,Microscope,18,6.74,0.37,11.26,0,0,0,0,Fertilization_Check,TRUE,11
11-03-2024,Lab_CHN_02,MIC_X2,Microscope,18,3.23,0.18,14.77,0,0,0,0,Fertilization_Check,TRUE,10
29-10-2024,Lab_CHN_01,INC_A2,incubator,18,9.71,0.54,8.29,0,0,0,0,Fertilization_Check,FALSE,10
15-12-2023,Lab_CHN_02,MIC_X1,Microscope,18,5.58,0.31,12.42,0,0,0,0,Fertilization_Check,TRUE,15
16-08-2024,Lab_CHN_01,MIC_X1,Microscope,18,8.75,0.49,9.25,0,0,0,0,Fertilization_Check,TRUE,15
12-03-2024,Lab_CHN_01,MIC_X2,Microscope,18,8.65,0.48,9.35,0,0,0,0,Fertilization_Check,TRUE,5
09-01-2024,Lab_CHN_01,ICSI_02,ICSI_Workstation,18,13.77,0.76,4.23,0,0,1,58.6,Fertilization_Check,TRUE,16
26-01-2024,Lab_CHN_02,ICSI_01,ICSI_Workstation,18,9.42,0.52,8.58,0,0,0,0,Fertilization_Check,TRUE,11
17-12-2024,Lab_CHN_02,MIC_X2,Microscope,18,2.71,0.15,15.29,0,0,1,48.3,Fertilization_Check,TRUE,7
14-05-2024,Lab_CHN_01,MIC_X2,Microscope,18,9.58,0.53,8.42,0,0,0,0,ICSI,TRUE,12
16-01-2023,Lab_CHN_02,MIC_X2,Microscope,18,4.94,0.27,13.06,0,0,0,0,Fertilization_Check,TRUE,9
21-04-2024,Lab_CHN_02,INC_B1,incubator,10,6.62,0.66,3.38,0,0,0,0,Embryo_Assessment,FALSE,3
02-05-2024,Lab_CHN_01,MIC_X1,Microscope,18,11.73,0.65,6.27,0,0,0,0,Embryo_Assessment,TRUE,11
10-09-2024,Lab_CHN_02,MIC_X2,Microscope,18,8.84,0.49,9.16,0,0,1,111.3,ICSI,TRUE,10
15-08-2024,Lab_CHN_02,INC_A1,incubator,18,10.04,0.56,7.96,0,0,0,0,Embryo_Assessment,TRUE,8
14-06-2024,Lab_CHN_02,MIC_X1,Microscope,18,5.84,0.32,12.16,0,0,1,45.4,ICSI,TRUE,11
14-10-2024,Lab_CHN_02,INC_B1,Incubator,18,13.65,0.76,4.35,0,0,1,62,IVF,FALSE,15
20-12-2023,Lab_CHN_01,ICSI_02,ICSI_Workstation,18,7.81,0.43,10.19,0,0,0,0,Embryo_Assessment,FALSE,8
16-09-2023,Lab_CHN_01,ICSI_02,ICSI_Workstation,10,3.44,0.34,6.56,0,0,0,0,ICSI,FALSE,5
03-04-2024,Lab_CHN_02,INC_A1,incubator,18,7.09,0.39,10.91,0,0,0,0,IVF,TRUE,14
07-12-2023,Lab_CHN_01,INC_B1,incubator,18,13.58,0.75,4.42,-0.5,0,0,0,Fertilization_Check,FALSE,7
25-04-2023,Lab_CHN_01,MIC_X1,Microscope,18,6.89,0.38,8.1,0,3.01,0,0,Fertilization_Check,TRUE,3
25-08-2024,Lab_CHN_02,INC_B1,incubator,10,6.69,0.67,3.31,0,0,0,0,IVF,FALSE,4
19-05-2023,Lab_CHN_01,INC_A1,incubator,18,10.53,0.58,7.47,0,0,1,58.1,Embryo_Assessment,FALSE,8
18-06-2024,Lab_CHN_01,INC_A1,Incubator,18,17.64,0.98,0.36,0,0,0,0,IVF,TRUE,10
,Lab_CHN_02,INC_A1,incubator,18,13.38,0.74,4.62,0,0,0,0,Fertilization_Check,TRUE,8
03-02-2023,Lab_CHN_01,INC_A1,Incubator,18,12.66,0.7,1.45,0,3.89,0,0,ICSI,TRUE,8
18-02-2023,Lab_CHN_02,ICSI_02,ICSI_Workstation,10,7.74,0.77,2.26,0,0,0,0,Embryo_Assessment,FALSE,3
27-01-2023,Lab_CHN_01,ICSI_01,ICSI_Workstation,18,11.91,0.66,6.09,0,0,1,114.8,Embryo_Assessment,FALSE,11
19-01-2023,Lab_CHN_01,ICSI_01,ICSI_Workstation,18,8.08,0.45,9.92,0,0,0,0,Fertilization_Check,TRUE,13
25-09-2023,Lab_CHN_01,ICSI_02,ICSI_Workstation,18,9.84,0.55,8.16,0,0,1,37.8,Fertilization_Check,TRUE,10
07-04-2024,Lab_CHN_02,MIC_X2,Microscope,10,5.99,0.6,4.01,0,0,0,0,Fertilization_Check,TRUE,5
07-10-2023,Lab_CHN_02,MIC_X2,Microscope,10,2.16,0.22,7.84,0,0,0,0,ICSI,TRUE,3
20-07-2023,Lab_CHN_01,INC_B1,incubator,18,,0.63,6.65,0,0,0,0,ICSI,TRUE,11
09-12-2024,Lab_CHN_02,ICSI_01,ICSI_Workstation,18,5.89,0.33,12.11,0,0,0,0,ICSI,FALSE,7
19-10-2023,Lab_CHN_02,MIC_X1,Microscope,18,10.11,0.56,7.89,0,0,1,88,IVF,TRUE,10
08-01-2024,Lab_CHN_01,INC_A2,incubator,18,12.83,0.71,5.17,0,0,1,43.4,Embryo_Assessment,TRUE,2
17-02-2023,Lab_CHN_01,ICSI_02,ICSI_Workstation,18,13.87,0.77,4.13,0,0,0,0,Fertilization_Check,FALSE,16
19-09-2023,Lab_CHN_01,MIC_X2,Microscope,18,15.14,0.84,2.86,0,0,0,0,IVF,TRUE,10
05-10-2023,Lab_CHN_01,MIC_X1,Microscope,18,10.6,0.59,7.4,0,0,0,0,Fertilization_Check,TRUE,4
15-12-2023,Lab_CHN_02,ICSI_01,ICSI_Workstation,18,9.4,0.52,8.6,0,0,0,0,ICSI,TRUE,14
15-01-2023,Lab_CHN_01,MIC_X2,Microscope,10,9,0.9,1,0,0,0,0,Fertilization_Check,TRUE,4
06-02-2023,Lab_CHN_02,ICSI_01,ICSI_Workstation,18,11.26,0.63,6.74,0,0,0,0,ICSI,TRUE,12
26-12-2024,Lab_CHN_01,MIC_X2,Microscope,18,7.14,0.4,10.86,0,0,1,112.1,Fertilization_Check,TRUE,8
06-10-2023,Lab_CHN_02,INC_B1,Incubator,18,5.93,0.33,8.22,0,3.85,0,0,ICSI,TRUE,11
20-02-2024,Lab_CHN_01,ICSI_01,ICSI_Workstation,18,8.43,0.47,9.57,0,0,0,0,ICSI,FALSE,4
23-08-2023,Lab_CHN_02,ICSI_02,ICSI_Workstation,18,13.34,0.74,4.66,0,0,1,22,IVF,TRUE,6
16-06-2023,Lab_CHN_02,MIC_X2,Microscope,18,10.66,0.59,7.34,0,0,0,0,ICSI,TRUE,12
03-04-2023,Lab_CHN_01,INC_A1,Incubator,18,5.4,0.3,12.6,0,0,0,0,Embryo_Assessment,TRUE,10
23-09-2024,Lab_CHN_02,MIC_X2,Microscope,18,7.56,0.42,10.44,0,0,0,0,Fertilization_Check,TRUE,8
09-03-2024,Lab_CHN_01,INC_A2,incubator,10,7.61,0.76,2.39,0,0,1,82,ICSI,TRUE,5
28-09-2023,Lab_CHN_02,ICSI_01,ICSI_Workstation,18,5.6,0.31,12.4,0,0,0,0,IVF,TRUE,7
31-12-2024,Lab_CHN_01,ICSI_02,ICSI_Workstation,18,10.64,0.59,7.36,0,0,0,0,IVF,FALSE,12
05-03-2023,Lab_CHN_01,ICSI_02,ICSI_Workstation,10,7.06,0.71,2.94,0,0,0,0,Fertilization_Check,TRUE,4
12-01-2024,Lab_CHN_01,ICSI_01,ICSI_Workstation,18,8.52,0.47,9.48,0,0,1,16.8,Fertilization_Check,TRUE,8
18-09-2024,Lab_CHN_02,INC_A1,incubator,18,14.35,0.8,3.65,0,0,0,0,Fertilization_Check,TRUE,13
21-05-2024,Lab_CHN_02,INC_A1,Incubator,18,13.16,0.73,4.84,0,0,0,0,IVF,TRUE,12
10-05-2024,Lab_CHN_01,ICSI_01,ICSI_Workstation,18,9.66,0.54,8.34,0,0,0,0,Embryo_Assessment,TRUE,15
24-09-2023,Lab_CHN_01,ICSI_01,ICSI_Workstation,10,6.67,0.67,3.33,0,0,1,31.7,IVF,FALSE,3
20-04-2023,Lab_CHN_02,INC_A1,incubator,18,12.98,,5.02,0,0,0,0,ICSI,FALSE,6
11-12-2024,Lab_CHN_01,ICSI_01,ICSI_Workstation,18,9.59,0.53,8.41,0,0,0,0,IVF,TRUE,11
13-07-2024,Lab_CHN_01,INC_A2,Incubator,10,7.01,0.7,2.49,0.5,0,0,0,ICSI,TRUE,6
03-12-2024,Lab_CHN_01,INC_A2,incubator,18,10.73,0.6,7.27,0,0,0,0,ICSI,TRUE,14
27-08-2024,Lab_CHN_02,INC_A2,Incubator,18,14.19,0.79,3.81,0,0,0,0,Fertilization_Check,FALSE,11
